[02/11/2023 12:27:45] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.115
[02/11/2023 12:27:47] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.115
[02/11/2023 12:33:49] - [Information] - ICMP: ping Success : IP 192.168.0.115
[02/11/2023 12:33:51] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.115
[02/11/2023 12:38:46] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 53, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 22, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.115
[02/11/2023 12:38:48] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.115
[02/11/2023 12:39:07] - [Information] - TCP: Porta Aberta: 80, IP: 192.168.0.1
[02/11/2023 12:39:07] - [Information] - TCP: Porta Aberta: 22, IP: 192.168.0.1
[02/11/2023 12:39:07] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.109
[02/11/2023 12:39:07] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.114
[02/11/2023 12:39:07] - [Information] - TCP: Porta Aberta: 445, IP: 192.168.0.115
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 443, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 110, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 445, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.1
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 80, IP: 192.168.0.115
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 20, IP: 192.168.0.115
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 21, IP: 192.168.0.115
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 143, IP: 192.168.0.109
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 25, IP: 192.168.0.109
[02/11/2023 12:39:09] - [Error] - TCP: Porta não encontrada: 3389, IP: 192.168.0.115
