[10/1/2023 12:16:12 PM] - [Information] - ScanTcp: Porta Aberta: 22, IP: 192.168.0.1
[10/1/2023 12:16:12 PM] - [Information] - ScanTcp: Porta Aberta: 80, IP: 192.168.0.1
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta Aberta: 445, IP: 192.168.0.109
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta Aberta: 445, IP: 192.168.0.114
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta Aberta: 445, IP: 192.168.0.115
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 53, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.255
[10/1/2023 12:16:13 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.255
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 21, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 20, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 110, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 143, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 3389, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 443, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 445, IP: 192.168.0.1
[10/1/2023 12:16:14 PM] - [Information] - ScanTcp: Porta não encontrada: 25, IP: 192.168.0.1
[10/1/2023 12:16:15 PM] - [Information] - ScanTcp: Porta não encontrada: 80, IP: 192.168.0.115
[10/1/2023 12:16:15 PM] - [Information] - ScanTcp: Porta não encontrada: 22, IP: 192.168.0.115
